picture, Manufacturer, Type, Form Factor, C. of Origin, State, Measured Capacity @ load<br> 0.9V cutoff,Measured Capacity @ load<br> 0.7V cutoff, Ri [Ohm], Weight [g],result,report, Comment,source
,HiQuick, High QUick & Performance 1100mA, AAA, China, low usage (< 20 cycles), ,, ,,,, scheduled for testing, Amazon
