picture, Manufacturer, Type, Form Factor, State, Advertised Cap. [mAh], Measured Capacity [mAh], Load [A], Ri [Ohm],result,report, Comment,Source
,MURATA, VTC6, 18650, low usage (less than 100 cycles), 3120, 2683, 1, ,legit, /reports/0001 ,black marking, Amazon
/assets/images/0005.JPG,GTF, LED FLASHLIGHT EXPERT, 18650, new, 9900, 758, 1, 0.477,fraud, ,red marking, ebay
/assets/images/0007.JPG,UltraFire, BRC 18650 red, 18650, new, 7800, 435, 1, 0.496,fraud,, ,ebay
/assets/images/0010.JPG,Rakieta, Gold?, 18650, new, 12000, 124, 1, 0.520,fraud,,,ebay
